term_type,term_type_name,term_data_type,term_code,term_name
orgName,组织,list,7468,云业务营销部
orgName,组织,list,400,浩鲸科技(一级经营委员会)
orgName,组织,list,6978,营销一部
orgName,组织,list,6979,营销二部
orgName,组织,list,6980,营销六部
orgName,组织,list,6982,营销十部
orgName,组织,list,6983,营销五部
orgName,组织,list,6984,营销九部
orgName,组织,list,6985,营销八部
orgName,组织,list,6986,营销七部
orgName,组织,list,6987,营销四部
orgName,组织,list,6988,营销三部
orgName,组织,list,7100,营销十四部
orgName,组织,list,7474,营销十二部
orgName,组织,list,7471,营销十一部
orgName,组织,list,7473,营销十三部
orgName,组织,list,7472,营销十五部
orgName,组织,list,6981,<待撤销>营销管理办公室
orgName,组织,list,7895,营销十六部
orgName,组织,list,706,云智能业务经营中心
orgName,组织,list,7843,大客户经营部
orgName,组织,list,7894,营销十七部
staffName,员工,list,0027015006,潘勇杰
staffName,员工,list,ZMP,镜湖
staffName,员工,list,0027031012,蒋珊
staffName,员工,list,0027026209,陈子维
staffName,员工,list,7027000011,包慧
staffName,员工,list,0027010369,杨名
staffName,员工,list,4027011656,刘京平
staffName,员工,list,0027031969,刘宏向
staffName,员工,list,0027030641,袁威
staffName,员工,list,0027031953,张钰衡
staffName,员工,list,0027031964,马胭脂
staffName,员工,list,0027001661,陈伟
staffName,员工,list,101155,鲍钟峻
staffName,员工,list,0027001824,张宁宁
staffName,员工,list,0027012156,姜斌
staffName,员工,list,0027013930,梅丛银
staffName,员工,list,0027019336,杨亭亭
staffName,员工,list,0027024021,吴鸣
staffName,员工,list,0027026216,田刚
staffName,员工,list,0027020773,苗海燕
staffName,员工,list,0027028877,崔爽
staffName,员工,list,0027030612,李真
staffName,员工,list,0027032032,楊真
staffName,员工,list,0027030568,陈伏健
staffName,员工,list,0027032033,陳遠明
staffName,员工,list,0027032147,陈少翠
staffName,员工,list,0027019657,余慧刚
staffName,员工,list,0027030881,张宏伟
staffName,员工,list,0027032307,黎志崙
staffName,员工,list,0027000851,黄勇
staffName,员工,list,0027018313,朱伟臻
staffName,员工,list,0027019862,王洪运
staffName,员工,list,112712,周勇
staffName,员工,list,0027032055,魏钦伟
staffName,员工,list,0027007383,颜益
staffName,员工,list,0027001572,田志勇
staffName,员工,list,0027012449,顾锬
staffName,员工,list,0027028933,张术艳
staffName,员工,list,0027031783,段永华
staffName,员工,list,0027032276,Alicia Tan
staffName,员工,list,0027012034,杨志江
staffName,员工,list,0027000157,胡永春
staffName,员工,list,0027000123,王奎
staffName,员工,list,0027030534,王磊
staffName,员工,list,0027000400,任勇
staffName,员工,list,0027001779,付建波
staffName,员工,list,001,admin
staffName,员工,list,0027030756,侯剑新
staffName,员工,list,0027031389,刘明
staffName,员工,list,0027031856,黄春
staffName,员工,list,0027031946,刘春利
staffName,员工,list,0027010968,李强
staffName,员工,list,ZSK,ZSK
staffName,员工,list,0027027169,李飞艳
staffName,员工,list,0027018181,蒋泽锋
staffName,员工,list,0027028500,符仙环
staffName,员工,list,0027028849,赵嘉诚
staffName,员工,list,0027030937,张月影
staffName,员工,list,0027030557,何小凤
staffName,员工,list,0027032310,马玉玲
staffName,员工,list,0027000633,张可
staffName,员工,list,0027006541,宋俊
staffName,员工,list,0027006272,赵博文
staffName,员工,list,2027001452,胡佩妮
staffName,员工,list,0027030561,孟墙光
staffName,员工,list,0027032112,陈国健
staffName,员工,list,0027032117,陶鹏州
staffName,员工,list,0027031861,王欣
staffName,员工,list,0027010790,谭敏
staffName,员工,list,0027029940,章钱满
staffName,员工,list,0027005061,张正东
staffName,员工,list,0027014711,李当然
staffName,员工,list,0027031983,王思泓
staffName,员工,list,0027011999,耿强
staffName,员工,list,0027031475,李浩
staffName,员工,list,0027029696,李聪
staffName,员工,list,0027020503,任志媛
staffName,员工,list,0027029748,颜佩
staffName,员工,list,0027029790,张恋
staffName,员工,list,0027006281,马鹏军
staffName,员工,list,0027027424,王阳
staffName,员工,list,0027012645,汤菊豪
staffName,员工,list,0027010786,张宏骏
staffName,员工,list,0027030548,高翔
staffName,员工,list,0027030993,崔尧
staffName,员工,list,0027030549,何欢
staffName,员工,list,0027011799,杜成鹏
staffName,员工,list,0027000313,李卫华
staffName,员工,list,0027032148,朱娴婷
staffName,员工,list,0027025518,周容先
staffName,员工,list,2027001448,王晶
staffName,员工,list,0027031626,高炎彬
staffName,员工,list,0027031699,张育强
staffName,员工,list,0027000128,金堃
staffName,员工,list,adminvip,adminvip
staffName,员工,list,0027024630,王小明
period_type,帐期周期,dict,MONTH,月
period_type,帐期周期,dict,WEEK,周
bo_status,商机状态,dict,进行中,进行中
bo_status,商机状态,dict,成交,成交
bo_type,商机类型,dict,直签,直签
